City,Average of schoolRating,Average of AvgIncomeCity,Average of population,bathrooms,bedrooms,Home_Rating,Stories,Average_Price,Average of distanceToCoast
Anaheim,7,88538,346824,2,3,2,1,889496,15.2
Aptos,7,126364,6664,2,3,2,1,1287962,6.8
Bakersfield,6,72017,403455,2,3,2,1,448115,78.2
Bear Valley,6,112448,128,2,3,1,1,324500,137.6
Bonny Doon,8,139375,2868,2,3,2,1,1200000,7.6
Brea,7,116760,47325,3,3,2,1,920168,21.2
Calabasas,8,154079,23241,3,3,2,2,1251857,23.9
Canoga Park,5,81155,60580,3,3,1,1,901990,22.9
Capitola,7,91850,9938,2,2,2,1,954750,4.2
Carlsbad,7,134139,114746,3,3,2,2,1249632,9.1
Carpinteria,7,102261,13264,2,2,2,1,852880,10.5
Castaic,6,152947,18937,3,4,2,2,817560,36.3
Clovis,7,97032,120124,2,3,2,1,469335,119.2
Coarsegold,6,81814,4144,2,3,1,1,409488,129.9
Colma,6,120130,1507,3,2,2,2,927500,7.1
Covina,6,88688,51268,2,3,2,1,763607,21
Cupertino,8,219372,60381,2,3,2,1,1672109,23.7
Cypress,8,114075,50151,4,3,3,2,1392500,16.1
Daly City,7,114910,104901,2,3,2,1,1044175,6.9
Danville,8,209589,43582,3,4,2,2,1830041,22.9
Del Rey Oaks,7,121667,1592,2,3,2,1,751250,28.5
Diamond Bar,8,143058,55072,2,3,2,1,909468,24.5
East Garrison,7,64921,#DIV/0!,3,3,2,1,775000,27.6
Encinitas,8,142506,62007,3,3,2,2,1394169,0
Encino,5,96662,44581,4,4,2,1,1777208,16.4
Fontana,6,93230,208393,3,4,2,2,637971,41.5
Foster City,7,185501,33805,2,3,2,1,1559962,17.6
Fremont,9,169023,230504,2,3,2,1,1326639,28.7
Fresno,5,67756,542107,2,3,2,1,441323,114.3
Fullerton,7,99279,143617,2,3,2,1,955886,18.3
Garden Grove,6,86139,171949,2,3,2,1,821276,11.8
Gilroy,6,124944,59520,3,4,2,2,1079685,25
Glendale,7,81219,196543,2,3,2,2,961341,8.2
Goleta,7,113889,32690,2,3,2,1,1039148,6.7
Granite Bay,7,177803,21247,3,4,2,1,955853,90.7
Hayward,6,105371,162954,2,3,2,1,847762,19.8
Hermosa Beach,8,149500,19728,2,2,2,2,1585175,15.6
La Canada Flintridge,8,210625,20573,2,3,2,1,1747256,10.9
La Jolla,9,136601,42808,2,2,2,2,1332533,10.9
Laguna Niguel,7,135822,64355,3,3,2,2,1398700,12.7
Lakewood,8,113030,82496,2,3,2,1,876218,15.8
Leucadia,8,141329,#DIV/0!,1,1,1,1,399999,2.4
Long Beach,8,78995,466742,2,3,2,2,866537,19.8
Los Alamitos,8,100987,11780,2,3,2,1,1317441,16
Los Angeles,5,76244,3898747,2,3,2,2,1349364,0
Marina,7,85783,22359,2,3,1,1,792293,23.7
Monterey,7,91043,30218,2,3,2,1,1083030,26.9
Monterey Park,6,76066,61096,3,3,2,2,919479,6.2
Morgan Hill,7,152199,45483,3,3,2,2,1166012,23.4
Newhall,7,130730,52400,2,3,1,2,564069,28.2
Newport Beach,7,149471,85239,2,2,2,2,1367458,0
Norco,6,120636,26316,2,4,2,1,921012,28.9
North Fontana,6,93230,209279,3,4,2,2,769020,43.9
Ontario,6,78070,6670307.554,2,3,2,1,635139,33.9
Orange,6,109335,1874401.554,3,4,2,1,1136798,13.4
Orinda,8,250086,19514,3,4,2,1,1692091,14.8
Oxnard,6,90409,202063,2,3,2,1,807816,33.4
Pacific Grove,7,102553,15090,2,3,2,1,1375295,25.3
Placentia,7,106155,51824,2,3,2,1,881266,18.5
Poway,8,135605,48841,3,3,2,1,1153279,14.8
Rancho Palos Verdes,8,166747,42287,3,3,2,2,1530255,21.4
Redondo Beach,8,140786,71576,3,3,2,2,1470298,15.5
Redwood City,7,145620,84292,2,3,2,1,1554194,22.6
Riverside,6,84505,314998,2,3,2,1,641975,39.3
Roseville,7,112265,147773,3,5,2,2,917500,86.2
Salinas,7,84250,163542,2,3,1,1,714589,29.2
San Bruno,7,131669,43908,2,3,2,1,1105279,10.5
San Diego,7.545691906,98657,1386932,2,3,2,2,1088819,0.1
San Francisco,6,136689,873965,2,3,2,1,1203851,0
San Gabriel,6,84056,39568,2,3,2,1,1332280,8.5
San Jose,7,136010,1013240,3,4,2,2,1974625,24.4
San Mateo,7,149152,205189.0647,2,3,2,1,1337279,16.4
Sanger,6,69333,26617,2,3,1,1,426842,116.2
Santa Barbara,8,92332,88665,2,3,2,1,1379514,1
Santa Clara,8,153792,127647,2,3,2,1,1255452,26.2
Santa Clarita,7,116186,228673,2,3,2,1,727917,29
Santa Cruz,8,104409,62956,2,3,2,1,1141467,0.3
Santa Paula,6,72014,30657,2,3,1,1,682989,36.2
Saugus,7,145442,41743,3,4,2,2,848167,30.2
Seal Beach,8,75507,25242,1,2,2,1,504187,14.5
Seaside,7,80239,32366,2,3,2,1,805916,27.1
Shafter,6,66418,19953,2,4,1,1,418142,78.4
Signal Hill,8,96385,11848,2,2,2,2,731417,18
Solana Beach,8,137647,12941,2,2,3,1,1512043,3.5
Soquel,7,111448,9980,2,3,2,1,987106,4.8
South San Francisco,6,127062,66105,2,3,2,1,1169231,8.4
Tehachapi,6,54598,12939,2,3,1,1,432494,75.5
Torrance,8,108324,147067,2,2,2,1,1035000,15.9
Val Verde,#N/A,107381,2399,2,3,2,1,542714,36
Valencia,7,127597,63070,3,3,2,2,721744,31.3
Van Nuys,5,72000,110747,2,3,2,1,819850,14.1
Venice,5,89978,40885,2,3,2,1,1669714,13
Ventura,8,10141,110763,2,3,2,1,830655,27.4
West Hills,5,91905,32270,3,4,2,1,1142714,7.8
West Hollywood,5,88078,35757,2,2,2,2,1033559,24.7
Woodland Hills,5,117330,67006,2,3,2,1,1009062,22.2
Yorba Linda,7,151534,68336,3,3,2,2,1046957,19.4